SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
s1,5684.407017,7.756883656,2.193703486,44271.02635,0,28.97566562,0,36.99036978,3.042847607,0,0.160247079,9.92840442,5.513641579,95.09779646
s2,0.115329151,65.12537769,0,728.1482123,0,0,0,0.342833997,0,0,0,0,0.101280578,0
s3,8.572581777,0.031634917,2053.244818,17288.90562,3216.889788,15298.50341,0,0,56.45417538,0,1.007498611,8.440308611,4.231566794,2.399687282
s4,11425.92862,506.2586173,3274.536754,115243.5318,1229.834523,24761.38221,3231.091746,11766.32634,11387.35638,1075.038387,2895.952161,2955.928323,5413.657724,6211.248492
s5,173.5169197,3.400921545,745.4470389,3174.014809,5260.625052,227.5758774,985.7596739,595.2107742,586.7943729,228.5340298,701.1762126,1024.923073,410.2908037,839.3922364
s6,705.0050032,0.001051664,1715.671556,606.9861383,14.80791474,0,0.744335515,1457.708022,331.3828447,0,4720.165173,815.9819071,713.6664089,381.2582782
s7,1122.559651,81.18474524,101.7620537,8395.013238,26.48417548,3785.248301,1142.32895,523.0913142,1395.47624,76.26508328,82.75711458,198.0790251,255.5565586,557.7103727
s8,132.0116186,44.47506859,0,2811.514079,2.512507891,0,78.57561241,17.39743546,541.0509772,710.9018653,566.2928538,2950.043919,2129.482676,514.941978
t9,1350.119756,190.0754381,677.5786055,31965.99719,892.813888,9369.371703,5361.625573,426.3293342,13485.1502,3299.703643,1475.61169,1997.096377,982.9030088,6100.346515
s10,1402.357362,48.27476112,587.1028457,4309.857652,393.6650161,5850.873565,8867.288953,277.9771234,4911.424898,5239.428131,1674.679138,4330.879782,251.0758959,2201.898757
s11,85.97702834,104.4964412,953.2723871,7691.079541,599.3273086,5475.755887,7416.274484,733.7051232,5416.043783,2693.139679,1014.816565,1826.383612,704.1912085,4658.312714
s12,83.83443829,13.8654476,90.93731871,949.6048566,213.2710591,20.94147676,112.0604161,0,1240.744059,140.1658244,69.12129972,65.01541957,89.01054043,180.5686278
s13,34.01779803,1.791633899,1405.988851,1121.987996,590.2294403,0,56.91141387,153.0879235,213.015011,160.669977,1800.799457,1268.361212,9993.56148,915.3723847
s14,56.15855008,0.15464071,1496.816975,1962.490104,317.7568316,9.759516263,54.57341317,47.55106052,1734.952807,303.6926507,256.8241294,464.1345732,633.2434619,628.7098322
