SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,0.06621928038902923,0.5692041713688578,0.1574666627188581,0.09925676164423833,0.07987514601264975,0.10578782126496122,0.058479182034736246,0.03748556310577452,0.04555125187889339,0.028262056891413975,0.026287422957413344,0.06713063251755627,0.06773045854841406,0.05494187276074553
s2,1.0,0.08962609204610442,0.21312707604372313,0.13434147280160688,0.10810895477371896,0.14318109394044493,0.07915006809247212,0.05073574508180269,0.06165244728919406,0.03825196676075269,0.03557935054253986,0.09085958370107128,0.09167143279906022,0.07436241101248434
s3,1.0,1.0,0.32397679975738924,0.48561216314742445,0.39078791000603647,0.5175652707999966,0.2861084888983857,0.18339753468726155,0.2228587916082455,0.13827167393619869,0.12861080811477166,0.3284355758769375,0.3313702154070989,0.2688022582717915
s4,1.0,1.0,1.0,0.5139755177484495,0.6199685240597418,0.8210954556846397,0.453899040992735,0.2909524475680441,0.3535560660128081,0.21936217424989124,0.20403561840952034,0.5210491778570913,0.525704859600504,0.4264434365999549
s5,1.0,1.0,1.0,0.9573406813478685,0.6386911073446121,1.0,0.5640371401039984,0.3615517364249395,0.4393460534838993,0.27259016265003294,0.2535446350257845,0.647481183236863,0.6532665609940963,0.5299194637421787
s6,1.0,1.0,1.0,0.7228405481098422,0.581693311041938,0.48224403193214344,0.42587651757685313,0.27298981482695805,0.3317284518433621,0.20581933518367093,0.19143900026719157,0.4888809830193322,0.49324923531502823,0.4001159494091136
s7,1.0,1.0,1.0,1.0,1.0,1.0,0.8723710503650504,0.49383381800578474,0.6000909888114196,0.37232359081818556,0.3463098155404948,0.8843771792288017,0.8922792715122206,0.7238027802134679
s8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9361692146143045,0.580841722501142,0.5402590508314598,1.0,1.0,1.0
s9,1.0,1.0,1.0,1.0,1.0,1.0,0.9890518276455929,0.6339891121949703,1.0,0.4779929891097491,0.44459622750329814,1.0,1.0,0.9292257137934858
t1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7165761084275882,1.0,1.0,1.0
t2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8282736226581331,1.0,1.0,1.0,1.0
t3,1.0,1.0,1.0,1.0,0.9166615256222241,1.0,0.6711175991166467,0.43019105667619845,0.5227543500790084,0.32434044230983694,0.30167918853009706,0.7599443583790165,0.7772869104270503,0.6305228023925136
t4,1.0,1.0,1.0,1.0,0.9085435022640773,1.0,0.6651741312242921,0.4263812523493584,0.5181247982696493,0.3214680589785134,0.2990074949652431,0.7635804505076489,0.7532142340312915,0.6249388450706523
t5,1.0,1.0,1.0,1.0,1.0,1.0,0.820003881530465,0.5256282009866681,0.6387265014595707,0.39629481030067226,0.3686061964359898,0.9413158207529922,0.949726671528132,0.9285367042053407
